State,Uninsured Rate (2010),Uninsured Rate (2015),Uninsured Rate Change (2010-2015),Health Insurance Coverage Change (2010-2015),Employer Health Insurance Coverage (2015),Marketplace Health Insurance Coverage (2016),Marketplace Tax Credits (2016),Average Monthly Tax Credit (2016),State Medicaid Expansion (2016),Medicaid Enrollment (2013),Medicaid Enrollment (2016),Medicaid Enrollment Change (2013-2016),Medicare Enrollment (2016)
Alabama ,0.146,0.101,-0.045,215000,2545000,165534,152206,310,FALSE,799176,910775,111599,989855
Alaska ,0.199,0.149,-0.05,36000,390000,17995,16205,750,TRUE,122334,166625,44291,88966
Arizona ,0.169,0.108,-0.061,410000,3288000,179445,124346,230,TRUE,1201770,1716198,514428,1175624
Arkansas ,0.175,0.095,-0.08,234000,1365000,63357,56843,306,TRUE,556851,920194,363343,606146
California,0.185,0.086,-0.099,3826000,19552000,1415428,1239893,309,TRUE,7755381,11843081,4087700,5829777
Colorado,0.159,0.081,-0.078,419000,2949000,108311,67062,318,TRUE,783420,1375264,591844,820234
Connecticut,0.091,0.06,-0.031,110000,2148000,102917,80759,357,TRUE,,761137,,644136
Delaware ,0.097,0.059,-0.038,35000,564000,25379,21467,330,TRUE,223324,236702,13378,186835
District of Columbia,0.076,0.038,-0.038,25000,388000,17666,1224,183,TRUE,235786,255491,19705,90492
Florida ,0.213,0.133,-0.08,1597000,8847000,1531714,1428712,305,FALSE,3104996,3644673,539677,4149593
Georgia ,0.197,0.139,-0.058,581000,5240000,478016,427353,291,FALSE,1535090,1782301,247211,1574058
Hawaii,0.079,0.04,-0.039,54000,867000,13313,10958,270,TRUE,288357,341200,52843,252514
Idaho,0.177,0.11,-0.067,109000,836000,94270,82802,265,FALSE,238150,293905,55755,294284
Illinois ,0.138,0.071,-0.067,850000,7359000,335243,259701,237,TRUE,2626943,3117939,490996,2118300
Indiana ,0.148,0.096,-0.052,339000,3825000,168884,139437,259,TRUE,1120674,1489805,369131,1181014
Iowa ,0.093,0.05,-0.043,132000,1862000,48949,42595,307,TRUE,493515,619055,125540,587780
Kansas ,0.139,0.091,-0.048,137000,1659000,89566,75815,247,FALSE,378160,421638,43478,499753
Kentucky,0.153,0.06,-0.093,404000,2316000,74640,56488,258,TRUE,606805,1220788,613983,881938
Louisiana ,0.178,0.119,-0.059,269000,2295000,184403,170806,362,TRUE,1019787,1328708,308921,817272
Maine ,0.101,0.084,-0.017,22000,702000,75240,63896,342,FALSE,,273160,,315160
Maryland,0.113,0.066,-0.047,278000,3700000,135208,100844,243,TRUE,856297,1252304,396007,960848
Massachusetts,0.044,0.028,-0.016,107000,4232000,207121,157751,190,TRUE,1296359,1684328,387969,1252277
Michigan ,0.124,0.061,-0.063,618000,5876000,313123,275080,233,TRUE,1912009,2300958,388949,1947787
Minnesota,0.091,0.045,-0.046,250000,3319000,74060,47266,203,TRUE,873040,1051509,178469,944222
Mississippi ,0.182,0.127,-0.055,161000,1326000,77747,73246,306,FALSE,637229,693869,56640,571699
Missouri ,0.132,0.098,-0.034,203000,3389000,252044,225878,315,FALSE,846084,967284,121200,1163543
Montana ,0.173,0.116,-0.057,58000,510000,51758,44091,306,TRUE,148974,224048,75074,209389
Nebraska ,0.115,0.082,-0.033,62000,1100000,80213,72091,296,FALSE,244600,242702,-1898,322796
Nevada,0.226,0.123,-0.103,294000,1505000,79876,71472,268,TRUE,332560,614298,281738,471747
New Hampshire ,0.111,0.063,-0.048,63000,853000,49114,31151,261,TRUE,127082,189429,62347,275803
New Jersey ,0.132,0.087,-0.045,398000,5450000,249395,205242,322,TRUE,1283851,1784529,500678,1528961
New Mexico,0.196,0.109,-0.087,178000,884000,47497,32703,212,TRUE,457678,766732,309054,385918
New York,0.119,0.071,-0.048,939000,10895000,224014,123830,178,TRUE,5678417,6431165,752748,3424666
North Carolina ,0.168,0.112,-0.056,552000,4934000,545354,499178,401,FALSE,1595952,2072282,476330,1823454
North Dakota ,0.098,0.078,-0.02,15000,450000,20536,17630,262,TRUE,69980,89763,19783,122294
Ohio ,0.123,0.065,-0.058,664000,6831000,212046,174448,250,TRUE,2341481,3003170,661689,2208504
Oklahoma ,0.189,0.139,-0.05,192000,1948000,130178,113209,298,FALSE,790051,788544,-1507,693677
Oregon,0.171,0.07,-0.101,403000,2070000,131167,95507,253,TRUE,626356,1021862,395506,784032
Pennsylvania ,0.102,0.064,-0.038,479000,7502000,412347,321345,248,TRUE,2386046,2883114,497068,2588577
Rhode Island,0.122,0.057,-0.065,68000,597000,35583,30015,250,TRUE,190833,287173,96340,208324
South Carolina ,0.175,0.109,-0.066,317000,2487000,204846,186345,312,FALSE,889744,994804,105060,974114
South Dakota ,0.124,0.102,-0.022,19000,449000,24578,22005,307,FALSE,115501,119835,4334,161464
Tennessee ,0.144,0.103,-0.041,266000,3369000,231705,203112,299,FALSE,1244516,1627100,382584,1266920
Texas ,0.237,0.171,-0.066,1781000,13709000,1092650,913177,271,FALSE,4441605,4770229,328624,3765946
Utah ,0.153,0.105,-0.048,143000,1897000,164415,145288,187,FALSE,294029,314182,20153,358887
Vermont,0.08,0.038,-0.042,26000,345000,27883,19575,300,TRUE,161081,175597,14516,136021
Virginia ,0.131,0.091,-0.04,327000,4850000,378838,319068,276,FALSE,935434,988821,53387,1392261
Washington,0.142,0.066,-0.076,537000,3986000,158245,110476,238,TRUE,1117576,1788536,670960,1238649
West Virginia ,0.146,0.06,-0.086,156000,976000,33235,29163,388,TRUE,354544,575645,221101,423500
Wisconsin ,0.094,0.057,-0.037,211000,3521000,224208,190542,332,FALSE,985531,1046897,61366,1084854
Wyoming,0.149,0.115,-0.034,20000,335000,22076,20313,459,FALSE,67518,63583,-3935,99128
United States,0.155,0.094,0.061,19304000,172292000,11081330,9389609,291,,56392477,73532931,16106157,57149984
